   1, -   39 -   78 -  301 
   2, -   44 -   87 - -311 
   3, -  100 -   70 -  115 
   4, -   30 -   45 -  -36 
   5, -   10 -   16 -  110 
   6, -   25 -   28 - -214 
   7, -   33 -   90 - -114 
   8, -   50 -   91 - -248 
   9, -   72 -   52 - -389 
  10, -    3 -   44 -  402 
  11, -   12 -   98 - -427 
  12, -   81 -    1 -  -88 
  13, -   60 -   50 - -231 
  14, -   22 -   47 -  -18 
  15, -   75 -   78 -  428 
  16, -   17 -   10 - -493 
  17, -   71 -   45 -  -35 
  18, -   76 -   94 - -425 
  19, -   89 -   61 - -497 
  20, -   35 -   17 -  224 
  21, -   93 -    1 -  100 
  22, -   26 -   81 -  458 
  23, -   78 -   69 -  -52 
  24, -   16 -   46 - -387 
  25, -   87 -   67 -  475 
  26, -   40 -    8 - -463 
  27, -   98 -   36 -  378 
  28, -   42 -   34 -   10 
  29, -  100 -   18 - -224 
  30, -   44 -   60 -  274 
  31, -   42 -   51 - -498 
  32, -   44 -   30 -  348 
  33, -   22 -   81 -  353 
  34, -   28 -   27 - -117 
  35, -   19 -   66 -  486 
  36, -   15 -   30 -  174 
  37, -   78 -   38 - -201 
  38, -   69 -   64 - -500 
  39, -   66 -   84 -  357 
  40, -   76 -   97 -  228 
  41, -   42 -   78 -  483 
  42, -    6 -   10 -  413 
  43, -    6 -   43 -   44 
  44, -   64 -   82 - -142 
  45, -   71 -   69 -  275 
  46, -   74 -   66 -  374 
  47, -   53 -   71 -  416 
  48, -   74 -   55 -  -21 
  49, -   55 -    1 -  375 
  50, -   91 -   22 -  380 
  51, -   12 -   37 - -416 
  52, -   20 -   64 -  -40 
  53, -   61 -   86 - -404 
  54, -   49 -   36 -  137 
  55, -   28 -    0 -   87 
  56, -   44 -   18 -   59 
  57, -   50 -   31 -  492 
  58, -   38 -   98 -  477 
  59, -   83 -   73 - -409 
  60, -   30 -   97 -  420 
  61, -   23 -   56 - -177 
  62, -   63 -   23 -  420 
  63, -   17 -   40 -  479 
  64, -   87 -   99 - -120 
  65, -   77 -   96 - -229 
  66, -   60 -   78 - -149 
  67, -   51 -   59 -  211 
  68, -   15 -   70 -  284 
  69, -   35 -   83 -  375 
  70, -   56 -   98 - -196 
  71, -   36 -   27 -  433 
  72, -   13 -   66 -  194 
  73, -   21 -    5 - -172 
  74, -   86 -   66 -  458 
  75, -   20 -    1 -  396 
  76, -   34 -    2 -  235 
  77, -   82 -   15 -  -60 
  78, -   82 -   78 - -107 
  79, -   16 -   83 -  -80 
  80, -   88 -   82 - -437 
  81, -   82 -   81 -  399 
  82, -   55 -   55 - -225 
  83, -   10 -   24 - -311 
  84, -   75 -   96 -   12 
  85, -   28 -   16 -  116 
  86, -   46 -    5 - -286 
  87, -   12 -   87 - -306 
  88, -   61 -   54 - -398 
  89, -   12 -    0 -  345 
  90, -   38 -   12 - -471 
  91, -   48 -    1 -  440 
  92, -   60 -   89 - -292 
  93, -   20 -   41 -  212 
  94, -   19 -   49 -  498 
  95, -   18 -   17 -  415 
  96, -   92 -   17 -  321 
  97, -   53 -   44 - -239 
  98, -   65 -    9 - -493 
  99, -   59 -   25 -  331 
 100, -   16 -   45 -  274 
 101, -   52 -   83 -   63 
 102, -   75 -   17 - -337 
 103, -   49 -   62 -  -61 
 104, -    2 -   38 - -467 
 105, -   97 -   79 -  -32 
 106, -   40 -   90 -  457 
 107, -   81 -   60 -   42 
 108, -   73 -   90 - -384 
 109, -   48 -   44 - -126 
 110, -    9 -   42 - -255 
 111, -   54 -   71 -   15 
 112, -   94 -   60 - -290 
 113, -   54 -   33 - -304 
 114, -   69 -   21 -   18 
 115, -   41 -   24 -  340 
 116, -   44 -   71 -  360 
 117, -   86 -   56 - -255 
 118, -    2 -    3 -  292 
 119, -   63 -    0 -  -97 
 120, -   37 -   83 -  320 
 121, -   46 -   73 - -158 
 122, -   97 -   75 -  147 
 123, -   58 -    3 -  455 
 124, -   81 -   92 -  -66 
 125, -   83 -    9 -  -62 
 126, -   28 -    1 -  145 
 127, -    4 -   76 -  101 
 128, -   15 -   55 - -159 
 129, -   57 -   24 -  -19 
